x,y,z,r,g,b
57.9259,77.0352,-1.294,0.8,0.8,0.8
54.9607,76.7993,-1.2951,0.8,0.8,0.8
49.5555,76.4904,4.7259,0.8,0.8,0.8
50.651,88.6437,1.4272,0.8,0.8,0.8
54.9955,72.5403,4.78,0.8,0.8,0.8
53.0881,74.938,-1.3014,0.8,0.8,0.8
46.5556,76.376,-0.0197,0.8,0.8,0.8
57.2778,75.4752,-1.2988,0.8,0.8,0.8
53.5598,74.9311,-1.2988,0.8,0.8,0.8
48.2807,74.0747,8.7242,0.8,0.8,0.8
47.7587,73.1842,8.6557,0.8,0.8,0.8
48.6041,70.1668,2.3543,0.8,0.8,0.8
58.0777,79.6167,3.4857,0.8,0.8,0.8
58.5299,78.1137,4.2457,0.8,0.8,0.8
51.74,76.4387,6.6977,0.8,0.8,0.8
49.595,77.2832,-0.8699,0.8,0.8,0.8
59.5459,73.9837,-0.8917,0.8,0.8,0.8
50.5005,77.143,-1.0874,0.8,0.8,0.8
54.6145,78.493,3.9047,0.8,0.8,0.8
49.7467,76.0296,4.7287,0.8,0.8,0.8
49.663,74.4494,2.037,0.8,0.8,0.8
49.517,72.8674,-1.3019,0.8,0.8,0.8
48.4318,75.2683,1.3829,0.8,0.8,0.8
53.4278,79.7184,3.7749,0.8,0.8,0.8
51.968,71.4803,2.0219,0.8,0.8,0.8
58.1795,77.1593,4.189,0.8,0.8,0.8
47.8122,76.754,0.8486,0.8,0.8,0.8
56.1489,73.0649,4.9578,0.8,0.8,0.8
59.3302,74.1108,-1.3021,0.8,0.8,0.8
57.9144,79.818,-0.6801,0.8,0.8,0.8
46.9351,70.0476,6.3007,0.8,0.8,0.8
48.4036,73.3635,4.969,0.8,0.8,0.8
52.9489,79.4154,-0.0824,0.8,0.8,0.8
54.2539,81.4717,-1.2837,0.8,0.8,0.8
52.1546,72.4155,-0.2609,0.8,0.8,0.8
49.2492,71.959,8.7197,0.8,0.8,0.8
49.3038,70.5404,5.6533,0.8,0.8,0.8
52.5641,80.1564,-0.7815,0.8,0.8,0.8
47.2491,70.0336,-0.0853,0.8,0.8,0.8
53.4542,77.5014,4.1191,0.8,0.8,0.8
45.0976,75.6991,3.5249,0.8,0.8,0.8
58.0689,79.6758,1.9043,0.8,0.8,0.8
55.3092,72.9857,0.0264,0.8,0.8,0.8
45.3214,76.0979,8.1169,0.8,0.8,0.8
53.5506,71.944,8.5346,0.8,0.8,0.8
51.3885,88.8743,1.1958,0.8,0.8,0.8
55.5873,71.9035,2.9254,0.8,0.8,0.8
49.4487,73.7059,-1.299,0.8,0.8,0.8
46.1045,72.986,4.806,0.8,0.8,0.8
59.6628,74.116,0.1778,0.8,0.8,0.8
54.5768,74.0392,4.2091,0.8,0.8,0.8
56.4907,74.6187,4.1293,0.8,0.8,0.8
58.5027,72.7971,1.9294,0.8,0.8,0.8
52.1092,72.6689,-0.9335,0.8,0.8,0.8
58.3339,78.7975,2.6636,0.8,0.8,0.8
50.7434,77.3673,-1.3088,0.8,0.8,0.8
55.1668,74.2745,0.5974,0.8,0.8,0.8
50.8955,74.0425,8.6258,0.8,0.8,0.8
51.8669,76.8736,-1.2961,0.8,0.8,0.8
49.2879,75.2601,3.0589,0.8,0.8,0.8
49.9336,88.3402,-1.1895,0.8,0.8,0.8
