x,y,z,r,g,b
315352,4.83436e+006,83.908,0.8,0.8,0.8
315319,4.83435e+006,84.9677,0.8,0.8,0.8
315322,4.83435e+006,83.3388,0.8,0.8,0.8
315348,4.8343e+006,93.7543,0.8,0.8,0.8
315351,4.83439e+006,82.3413,0.8,0.8,0.8
315387,4.83436e+006,92.0792,0.8,0.8,0.8
315312,4.83439e+006,102.745,0.8,0.8,0.8
315369,4.83432e+006,95.7556,0.8,0.8,0.8
315372,4.83433e+006,89.5452,0.8,0.8,0.8
315304,4.8344e+006,82.3022,0.8,0.8,0.8
315320,4.83437e+006,99.5539,0.8,0.8,0.8
315328,4.83436e+006,91.1594,0.8,0.8,0.8
315285,4.83439e+006,86.8928,0.8,0.8,0.8
315358,4.83437e+006,99.5768,0.8,0.8,0.8
315344,4.83438e+006,98.7506,0.8,0.8,0.8
315295,4.83438e+006,109.941,0.8,0.8,0.8
315386,4.83438e+006,103.56,0.8,0.8,0.8
315321,4.83429e+006,85.1471,0.8,0.8,0.8
315358,4.83435e+006,81.9863,0.8,0.8,0.8
315416,4.83439e+006,109.186,0.8,0.8,0.8
315380,4.83439e+006,111.866,0.8,0.8,0.8
315350,4.83437e+006,81.551,0.8,0.8,0.8
315303,4.83443e+006,108.081,0.8,0.8,0.8
315308,4.83433e+006,87.2086,0.8,0.8,0.8
315348,4.83439e+006,101.315,0.8,0.8,0.8
315412,4.83438e+006,83.0648,0.8,0.8,0.8
315298,4.83443e+006,85.1075,0.8,0.8,0.8
315324,4.83429e+006,92.3497,0.8,0.8,0.8
315338,4.83439e+006,98.7298,0.8,0.8,0.8
315289,4.83446e+006,98.3979,0.8,0.8,0.8
315321,4.83441e+006,98.4648,0.8,0.8,0.8
315340,4.83437e+006,82.7996,0.8,0.8,0.8
315288,4.83435e+006,106.333,0.8,0.8,0.8
315328,4.83443e+006,82.8878,0.8,0.8,0.8
315313,4.83438e+006,82.7298,0.8,0.8,0.8
315373,4.83437e+006,88.3995,0.8,0.8,0.8
315343,4.83435e+006,87.1221,0.8,0.8,0.8
315341,4.83436e+006,86.5404,0.8,0.8,0.8
315357,4.83437e+006,102.333,0.8,0.8,0.8
315300,4.83437e+006,82.1181,0.8,0.8,0.8
315357,4.83437e+006,95.1525,0.8,0.8,0.8
315354,4.83437e+006,82.1336,0.8,0.8,0.8
315297,4.83433e+006,83.1441,0.8,0.8,0.8
315351,4.83438e+006,102.025,0.8,0.8,0.8
315368,4.83443e+006,127.437,0.8,0.8,0.8
315298,4.83437e+006,84.3394,0.8,0.8,0.8
315313,4.83432e+006,90.7613,0.8,0.8,0.8
315399,4.83436e+006,93.4753,0.8,0.8,0.8
315353,4.83435e+006,82.618,0.8,0.8,0.8
315369,4.83437e+006,76.5731,0.8,0.8,0.8
315298,4.83439e+006,82.3254,0.8,0.8,0.8
315368,4.83442e+006,108.427,0.8,0.8,0.8
315302,4.83442e+006,84.3816,0.8,0.8,0.8
315280,4.83442e+006,96.673,0.8,0.8,0.8
315322,4.83437e+006,98.7795,0.8,0.8,0.8
315327,4.83438e+006,89.1282,0.8,0.8,0.8
315331,4.83441e+006,103.147,0.8,0.8,0.8
315302,4.83442e+006,93.1615,0.8,0.8,0.8
315359,4.83432e+006,112.899,0.8,0.8,0.8
315299,4.83437e+006,83.0004,0.8,0.8,0.8
315339,4.83437e+006,105.431,0.8,0.8,0.8
315290,4.83446e+006,84.3421,0.8,0.8,0.8
315341,4.83432e+006,110.969,0.8,0.8,0.8
315337,4.83432e+006,90.9013,0.8,0.8,0.8
315351,4.83432e+006,98.5241,0.8,0.8,0.8
315352,4.8344e+006,99.6853,0.8,0.8,0.8
315328,4.83436e+006,101.026,0.8,0.8,0.8
315386,4.83438e+006,83.5471,0.8,0.8,0.8
315316,4.83435e+006,81.605,0.8,0.8,0.8
315371,4.83436e+006,83.1439,0.8,0.8,0.8
315369,4.83442e+006,127.487,0.8,0.8,0.8
315296,4.83444e+006,83.5753,0.8,0.8,0.8
315343,4.83437e+006,95.9342,0.8,0.8,0.8
315349,4.83432e+006,105.934,0.8,0.8,0.8
315372,4.83435e+006,88.2471,0.8,0.8,0.8
